,hash,block_number,from_address,to_address,OFAC sanctioned address interacted,sanctioned_type,merge,delay,included_in_block_num
72,0x3860982b8b0bbcd05d52bd533b719180f330664d891d79fd1a7dd1cdf42bc390,15471981,0x42e2b43be755d7d2acb8f38136908823608b0481,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,65.301991,15471981.0
73,0x93197c16ac24e45171dd50e77428fec17f840dff99913bac93a0fc813d6295db,15472114,0x3b8f5a87ae8139f489058bebfa5790d88b73802d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,14.514659,15472114.0
74,0x1a69ad7e0c8c700fcc97907d006b5efe96717c88f52fe4552a80e6e91fb3926d,15472134,0x3b8f5a87ae8139f489058bebfa5790d88b73802d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,218.382626,15472134.0
75,0x6ac62f85097ce5facae63ef5082e3679870150603c9d8e9b850856aee96fd0f7,15472196,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,15.497159,15472196.0
76,0x97739b2e2dc65af281d4f065f4d03af33535b44f1640c221c51354d92f5212fd,15472218,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,47.15956,15472218.0
77,0x01ee8a5dd46984ea1c71f0e0d3bc1b574d25ccc55eb007000495d600b08fd04f,15472227,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,9.407851,15472227.0
78,0x3304cf179ba117f9903cdcedcbbabeeeb42cb9843a53d55dae693d0f112e75be,15472255,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,11.286411,15472255.0
79,0x27e10bb18b9d66da01d2155fb77b1d75a79f7005c85506d4efc78dd4b1e03854,15472240,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,86.526683,15472240.0
80,0x65d9fa02f7a83cd7abffbaed790cbccdc22fb2fe0dd8cc8831eee11c7a49bc99,15472244,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,3.965248,15472244.0
81,0xfc838d3b58064fb92ee9a30bd61535caf8bc11838d643e104299cb9fc912fc69,15472263,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,29.207203,15472263.0
82,0x6f1dae0f4ac03d464eb90a866629e84b85c9715abc3d84a8a4e9c772e5e7f399,15472291,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,48.261901,15472291.0
83,0x2c9f20863b26313da719e81737be7c087ff5035c7bfe5f9c15b6966c6d4a85a2,15472300,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,7.216305,15472300.0
84,0x7fe5d1f00a0b38087117d4a4830c513bf7cd3e471c3b84addf29d9806967be9a,15472309,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,32733.692588,15472309.0
85,0xbf1db8bde43002034fc463ee5fd60cb0f452c7795d2cf89d1ed1fbffc45f091b,15472322,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,15.565963,15472322.0
86,0x262adbd1fd833ee3fa25f3b40cf37e3de2f6ea07a184ae8c802e418aeceaa1a2,15472328,0xd98e83f6343b1802b00150926583521cd4c0500b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,13.699028,15472328.0
